Staphylococcus test positive,,,,
Abortion spontaneous,,,,
Muscle fatigue,muscle_weakness,fatigue,muscle_wasting,
Internal hernia,,,,
Lipodystrophy acquired,,,,
Biliary tract infection,,,,
Soft tissue excision,,,,
Fasting,,,,
Meconium abnormal,,,,
Systemic lupus erythematosus rash,,,,
Strangulated hernia,,,,
Intensive care,,,,
Homicide,,,,
Benign gastric neoplasm,,,,
Bartholin's abscess,,,,
Hepatitis B reactivation,,,,
Radiolucency around implant,,,,
Cheilosis,,,,
Micturition frequency decreased,,,,
Red blood cell morphology abnormal,,,,
Fasciotomy,,,,
Incision site impaired healing,,,,
Poliomyelitis,,,,
Aneurysm ruptured,,,,
Blood pressure diastolic decreased,,,,
Rachiotomy,,,,
Eclampsia,,,,
Obsessive-compulsive personality disorder,,,,
Meningitis listeria,,,,
Growth retardation,,,,
Glassy eyes,,,,
Uterine haematoma,,,,
Neurodegenerative disorder,,,,
Pericardial disease,,,,
Eyelid rash,,,,
Vasa praevia,,,,
Congenital vitreous anomaly,,,,
Proctitis haemorrhagic,,,,
Aortic injury,,,,
Injection site calcification,,,,
Pulmonary vein occlusion,,,,
Parotitis,,,,
Hypocalciuria,,,,
Spondyloarthropathy,,,,
Enterococcus test positive,,,,
Ear infection staphylococcal,,,,
Procedural dizziness,dizziness,unsteadiness,loss_of_balance,
Pelvic discomfort,,,,
Peripheral nerve operation,,,,
Periprocedural myocardial infarction,,,,
Alcoholic psychosis,,,,
Splenic cyst,,,,
Senile dementia,,,,
Spinal fusion surgery,,,,
Vitamin D decreased,,,,
Blood prolactin decreased,,,,
Accelerated hypertension,,,,
Non-Hodgkin's lymphoma metastatic,,,,
Visual brightness,,,,
Osteonecrosis,,,,
Insulin resistance,,,,
Myxoedema coma,,,,
Anti factor VIII antibody test,,,,
Necrobiosis lipoidica diabeticorum,,,,
Bone giant cell tumour,,,,
Myocarditis infectious,,,,
Tinel's sign,,,,
CYP2C19 polymorphism,,,,
Necrotising fasciitis fungal,,,,
Bullous haemorrhagic dermatosis,,,,
Conjunctivitis,,,,
On and off phenomenon,,,,
Mineral supplementation,,,,
Angioplasty,,,,
Lemierre syndrome,,,,
HIV test false positive,,,,
Alcohol abuse,history_of_alcohol_consumption,,,
Sacroiliitis,,,,
Vessel puncture site swelling,,,,
Endobronchial valve implantation,,,,
Application site scab,,,,
Hepatic failure,,,,
Walking disability,,,,
Complication of device insertion,,,,
Mucous stools,,,,
Prostatic specific antigen,,,,
Dry throat,throat_irritation,,,
Empyema,,,,
Adjustment disorder with depressed mood,mood_swings,,,
Terminal insomnia,,,,
Tri-iodothyronine free abnormal,,,,
Disease progression,,,,
Parathyroid gland operation,,,,
Saccadic eye movement,,,,
Acid base balance abnormal,,,,
Globulins increased,,,,
Pregnancy test urine positive,,,,
Pulmonary sarcoidosis,,,,
Epispadias,,,,
Rubella antibody positive,,,,
Internal fixation of spine,,,,
Cerebral haemorrhage neonatal,,,,
Bronchopneumopathy,,,,
Negative thoughts,,,,
Endotracheal intubation complication,,,,
Neonatal respiratory distress syndrome,,,,
Ovarian cancer recurrent,,,,
Frustration tolerance decreased,,,,
Metastases to reproductive organ,,,,
Post procedural infection,,,,
Vertebral column mass,,,,
Viral myositis,,,,
Miliaria,,,,
Transient ischaemic attack,,,,
Inferiority complex,,,,
Medical diet,,,,
Hemivertebra,,,,
Raoultella ornithinolytica infection,,,,
Oral discomfort,,,,
Congenital central nervous system anomaly,,,,
Hernia congenital,,,,
Anticoagulation drug level decreased,,,,
Gastric infection,,,,
Transverse presentation,,,,
Chloroma,,,,
Anaphylactoid syndrome of pregnancy,,,,
Meningitis enteroviral,,,,
Post procedural diarrhoea,diarrhoea,,,
Brain stem glioma benign,,,,
Convulsive threshold lowered,,,,
Glycosylated haemoglobin increased,,,,
Corneal infection,,,,
Anaemia macrocytic,,,,
Breast discharge,,,,
Epicondylitis,,,,
Hypermetabolism,,,,
Abnormal behaviour,,,,
Aortic valve thickening,,,,
Brain cancer metastatic,,,,
Abortion induced,,,,
Derealisation,,,,
Coronavirus infection,,,,
Wrong dosage formulation,,,,
Trance,,,,
Benzodiazepine drug level increased,,,,
Cranial nerve injury,,,,
Arthropod-borne disease,,,,
Keratoplasty,,,,
Pelvic inflammatory disease,,,,
CHA2DS2-VASc annual stroke risk low,,,,
Administration site plaque,,,,
Acquired macroglossia,,,,
Crying,,,,
Child neglect,,,,
Ischaemic enteritis,,,,
Colorectal cancer,,,,
Device use error,,,,
Foetal heart rate abnormal,fast_heart_rate,,,
Blood immunoglobulin M increased,,,,
Abscess limb,,,,
Urinary tract stoma complication,,,,
Agranulocytosis,,,,
Chondromatosis,,,,
Intercepted medication error,,,,
Radiation injury,,,,
Physical examination abnormal,,,,
Subcapsular renal haematoma,,,,
Congenital tricuspid valve atresia,,,,
Procedural complication,,,,
Dactylitis,,,,
Sinusitis,sinus_pressure,pain_behind_the_eyes,,
Cutaneous lymphoma,,,,
Anion gap,,,,
Dopaminergic drug therapy,,,,
Lymph node palpable,,,,
Anaemia neonatal,,,,
Pulmonary physical examination abnormal,,,,
Xerophthalmia,,,,
Tonsillitis streptococcal,,,,
Erythema induratum,,,,
Hepatitis B,,,,
Leukaemic infiltration extramedullary,,,,
Base excess decreased,,,,
Behavioural addiction,,,,
HIV antigen positive,,,,
Tendon calcification,,,,
Cervical dysplasia,,,,
Genital paraesthesia,,,,
Tenoplasty,,,,
Nasal crusting,,,,
Tachycardia induced cardiomyopathy,,,,
Gingival pain,,,,
Acute psychosis,,,,
Rectal cancer metastatic,,,,
Osteochondroma,,,,
Ovarian abscess,,,,
Speech disorder,slurred_speech,,,
Intervertebral disc operation,,,,
Lack of satiety,,,,
Pericarditis,,,,
Overwork,,,,
Cranial nerve paralysis,,,,
Smear vaginal abnormal,,,,
Ovarian failure,,,,
Plasma cell myeloma refractory,,,,
Carcinogenicity,,,,
Intervertebral disc space narrowing,,,,
Allergy test positive,,,,
Intra-abdominal pressure increased,,,,
Medical device site injury,,,,
Right ventricular dysfunction,,,,
Auscultation,,,,
Malpositioned teeth,,,,
Solar dermatitis,,,,
Blood alkaline phosphatase,,,,
Stoma site infection,,,,
Clear cell renal cell carcinoma,,,,
Eye paraesthesia,,,,
Akathisia,,,,
Nasopharyngeal reflux,,,,
Cardiovascular disorder,,,,
Retinal aneurysm rupture,,,,
Paracentesis,,,,
Desmoid tumour,,,,
Hospice care,,,,
Gastric haemangioma,,,,
Eosinophilic colitis,,,,
Cystitis,,,,
Liposarcoma,,,,
Knee arthroplasty,,,,
Strangulated umbilical hernia,,,,
Peripheral vein occlusion,,,,
Basal ganglia infarction,,,,
Investigation,,,,
Pregnancy test positive,,,,
Hyperinsulinaemia,,,,
Intentional device use issue,,,,
Staphylococcal skin infection,,,,
Intraductal papillary-mucinous carcinoma of pancreas,,,,
Bursal fluid accumulation,,,,
Developmental delay,,,,
Breast cancer in situ,,,,
Uterine inflammation,,,,
Urine output,,,,
Orbital myositis,,,,
Poor feeding infant,,,,
Tracheobronchitis bacterial,,,,
Scleral hyperaemia,,,,
Injection site pain,,,,
Vascular device infection,,,,
Hypertensive nephropathy,,,,
Lymph nodes scan abnormal,,,,
Compartment syndrome,,,,
Stress cardiomyopathy,,,,
Nasal discomfort,,,,
Large intestine polyp,,,,
Gamma-glutamyltransferase abnormal,,,,
Aortic intramural haematoma,,,,
Blood lactic acid increased,,,,
Adjustment disorder,,,,
Pruritus genital,,,,
Pseudocholinesterase deficiency,,,,
Fracture pain,,,,
Medication crystals in urine present,,,,
Primary mediastinal large B-cell lymphoma recurrent,,,,
Retinal tear,,,,
Vein collapse,,,,
Graft versus host disease,,,,
Skin swelling,,,,
Vascular resistance systemic decreased,,,,
Tendon laxity,,,,
Fungal sepsis,,,,
Glomerular filtration rate increased,,,,
Strawberry tongue,,,,
CSF glucose decreased,,,,
Critical illness,,,,
Orbital space occupying lesion,,,,
Thymus disorder,,,,
Calcium ionised decreased,,,,
Bronchial hyperreactivity,,,,
Blood fibrinogen decreased,,,,
Fournier's gangrene,,,,
Environmental exposure,,,,
Hepatic haematoma,,,,
Rectal abscess,,,,
Renal function test abnormal,,,,
Superinfection,,,,
Microalbuminuria,,,,
Red blood cell sedimentation rate,,,,
Chvostek's sign,,,,
Herpes zoster oticus,,,,
Polymerase chain reaction positive,,,,
Abortion,,,,
Cerebral artery occlusion,,,,
Tuberculosis of eye,,,,
Vitamin B12 increased,,,,
Sprue-like enteropathy,,,,
Viral rash,red_spots_over_body,,,
Osteomyelitis,,,,
Mood swings,mood_swings,,,
Implant site dehiscence,,,,
Supine hypertension,,,,
Inflammation,,,,
Psychopathic personality,,,,
Cyclosporidium infection,,,,
Injection site dysaesthesia,,,,
Paternal exposure timing unspecified,,,,
Insulin-requiring type 2 diabetes mellitus,,,,
Thrombocytopenia,,,,
Adenoviral haemorrhagic cystitis,,,,
Nail bed bleeding,,,,
Meningitis neonatal,,,,
Electrocardiogram QRS complex abnormal,,,,
Myopia,,,,
Senile pruritus,,,,
Cervical discharge,,,,
Sjogren's syndrome,,,,
Medical device site vesicles,,,,
Erythroid series abnormal,,,,
Pancreatic neuroendocrine tumour,,,,
Inappropriate antidiuretic hormone secretion,,,,
Squamous cell carcinoma of skin,,,,
Scleroderma renal crisis,,,,
Peak expiratory flow rate decreased,,,,
Red blood cell agglutination,,,,
Renal aneurysm,,,,
Osteosarcoma metastatic,,,,
Sneezing,continuous_sneezing,,,
Vitamin D deficiency,,,,
Intracranial aneurysm,,,,
Spermatocele,,,,
Testicular germ cell tumour mixed,,,,
Sleep apnoea syndrome,,,,
Tubulointerstitial nephritis,,,,
Choriocarcinoma,,,,
Oral discharge,,,,
Rapid correction of hyponatraemia,,,,
Diffuse large B-cell lymphoma stage IV,,,,
Hyperkaliuria,,,,
Paranasal sinus discomfort,,,,
Spinal nerve stimulator implantation,,,,
Limb fracture,,,,
Haemorrhagic erosive gastritis,,,,
Microsleep,,,,
Computerised tomogram intestine,,,,
Gliosis,,,,
Plantar fasciitis,,,,
Influenza,,,,
Anti-glomerular basement membrane disease,,,,
Pulmonary infarction,,,,
Craniotomy,,,,
Prostatic pain,,,,
Human chorionic gonadotropin decreased,,,,
Cystoid macular oedema,,,,
Cardiac failure chronic,,,,
Biliary stent placement,,,,
Pelvic mass,,,,
Peroneal nerve palsy,,,,
Radiotherapy to prostate,,,,
Breast neoplasm,,,,
Genital abscess,,,,
Affective disorder,,,,
Mononucleosis syndrome,,,,
Tongue cancer recurrent,,,,
Activated partial thromboplastin time shortened,,,,
Drug tolerance,,,,
Eosinophilic pneumonia,,,,
Influenza like illness,,,,
Prostate cancer stage IV,,,,
Blood albumin abnormal,,,,
Infusion site rash,,,,
Neurological examination,,,,
Pneumonia acinetobacter,,,,
Lice infestation,,,,
Recrudescent typhus,toxic_look_(typhos),,,
Injection site granuloma,,,,
Exposure to fungus,,,,
Posturing,,,,
Arthritis fungal,,,,
Papilloedema,,,,
Pupillary deformity,,,,
Respiratory tract infection bacterial,,,,
Acne fulminans,,,,
Dengue virus test positive,,,,
Myelocyte count decreased,,,,
Ultrasound ovary abnormal,,,,
Shock symptom,,,,
Balanoposthitis,,,,
Small intestinal haemorrhage,,,,
Infection susceptibility increased,,,,
Prostatic specific antigen abnormal,,,,
Alcohol detoxification,,,,
Cholestatic liver injury,,,,
Hypotrichosis,,,,
Fracture malunion,,,,
Acute pulmonary histoplasmosis,,,,
Infantile haemangioma,,,,
Chilaiditi's syndrome,,,,
Puncture site pain,,,,
Cerebral infarction,,,,
Post procedural erythema,,,,
Herpes zoster meningitis,,,,
Fibromyalgia,,,,
Device difficult to use,,,,
Prostatectomy,,,,
Dermatitis exfoliative,,,,
Skin atrophy,,,,
Grandiosity,,,,
Umbilical hernia,,,,
Corneal abrasion,,,,
Herpangina,,,,
Superficial injury of eye,,,,
Primary biliary cholangitis,,,,
Hepatitis B antibody positive,,,,
Parapsoriasis,,,,
CFTR gene mutation,,,,
African trypanosomiasis,,,,
Vitreous haze,,,,
Hyperadrenalism,,,,
Immune reconstitution inflammatory syndrome associated Kaposi's sarcoma,,,,
Erythema of eyelid,,,,
Urethral haemorrhage,,,,
Hepatoblastoma,,,,
Splenic rupture,,,,
Biloma,,,,
Nasal congestion,congestion,,,
Blood magnesium decreased,,,,
Hidradenitis,,,,
Drug exposure before pregnancy,,,,
Blood testosterone decreased,,,,
Oesophageal irritation,,,,
Neurosis,,,,
Antineutrophil cytoplasmic antibody decreased,,,,
Mammary duct ectasia,,,,
Chemical peritonitis,,,,
Haemolysis,,,,
Anaesthetic complication pulmonary,,,,
Infusion site erythema,,,,
Fistula,,,,
Hepatitis C core antibody positive,,,,
Sensory level abnormal,,,,
Cerebral haemangioma,,,,
Liver contusion,,,,
Activated partial thromboplastin time,,,,
Juvenile psoriatic arthritis,,,,
Migraine without aura,,,,
Menstruation irregular,abnormal_menstruation,,,
Urinary tract injury,,,,
Metastases to nervous system,,,,
Semen viscosity decreased,,,,
Interstitial lung disease,,,,
Nasopharyngitis,,,,
Cestode infection,,,,
Loeffler's syndrome,,,,
Cardiac aneurysm,,,,
Pathological fracture,,,,
Polycystic ovaries,,,,
Urine viscosity increased,,,,
Hepatorenal syndrome,,,,
Tenosynovitis,,,,
Conjunctival irritation,,,,
Staphylococcal bacteraemia,,,,
Shunt malfunction,,,,
Dermatitis contact,,,,
Primary cardiac lymphoma,,,,
Mycoplasma infection,,,,
Brain stem thrombosis,,,,
Pseudopolyp,,,,
Warm type haemolytic anaemia,,,,
Primitive neuroectodermal tumour,,,,
Nitrite urine present,,,,
Oophorectomy,,,,
Effusion,,,,
Renal atrophy,,,,
Inguinal hernia strangulated,,,,
Vision blurred,,,,
Palmoplantar keratoderma,,,,
Liquid product physical issue,,,,
Pasteurella infection,,,,
Antiphospholipid syndrome,,,,
Thiopurine methyltransferase decreased,,,,
Alcoholic hangover,,,,
Imaging procedure abnormal,,,,
Psychiatric symptom,,,,
Retinal vein thrombosis,,,,
Superior vena cava syndrome,,,,
Arteriovenous fistula thrombosis,,,,
Infertility male,,,,
Blood potassium decreased,,,,
Ovarian adenoma,,,,
Fever neonatal,high_fever,,,
Plasma cell leukaemia,,,,
Presbyacusis,,,,
Mass excision,,,,
Spider naevus,,,,
Vascular access complication,,,,
Homans' sign negative,,,,
Growth accelerated,,,,
Pelvic pouch procedure,,,,
Tendon rupture,,,,
Binocular eye movement disorder,,,,
Mandibular mass,,,,
Seizure like phenomena,,,,
Product gel formation,,,,
Peritoneal lesion,,,,
Lack of application site rotation,,,,
Polymorphic light eruption,,,,
Intentional overdose,,,,
Post abortion complication,,,,
Decidual cast,,,,
Pharyngeal swelling,,,,
Neurilemmoma benign,,,,
Haemorrhage in pregnancy,,,,
Wrong strength,,,,
Oestradiol,,,,
Ocular discomfort,,,,
Kidney rupture,,,,
Injection site pruritus,,,,
Agraphia,,,,
Bronchial carcinoma,,,,
Nasal herpes,,,,
Scrotal cyst,,,,
Pyonephrosis,,,,
Parkinsonism,,,,
Renal tubular dysfunction,,,,
Rectal polyp,,,,
Epileptic aura,visual_disturbances,,,
Prehypertension,,,,
Therapeutic product effect delayed,,,,
Allergic oedema,,,,
Anaesthesia oral,,,,
Cholangiocarcinoma,,,,
Biliary anastomosis complication,,,,
Rapid eye movements sleep abnormal,,,,
Testicular cancer metastatic,,,,
Pulmonary hilum mass,,,,
Scintillating scotoma,,,,
Metastatic choriocarcinoma,,,,
Stomach mass,,,,
Herpes dermatitis,,,,
Human bite,,,,
Blood insulin decreased,,,,
Leriche syndrome,,,,
Cytomegalovirus viraemia,,,,
Sideroblastic anaemia,,,,
Dyspnoea,,,,
Mechanical ileus,,,,
Adductor vocal cord weakness,,,,
Amaurosis fugax,,,,
Injection site inflammation,,,,
Tongue paralysis,,,,
Infective exacerbation of bronchiectasis,,,,
Tumour hyperprogression,,,,
Phobia of driving,,,,
Cholelithiasis obstructive,,,,
Nephritis allergic,,,,
Injection site cellulitis,,,,
Hypoventilation neonatal,,,,
Catheterisation cardiac normal,,,,
Coagulation factor X level decreased,,,,
Abdominal wall operation,,,,
Tuberculous pleurisy,,,,
Antisocial behaviour,,,,
Severe invasive streptococcal infection,,,,
Abdominal operation,,,,
Intestinal angioedema,,,,
Aortic valve disease mixed,,,,
Reversible splenial lesion syndrome,,,,
Adrenal haematoma,,,,
Bleeding varicose vein,,,,
Reading disorder,,,,
Ulcer,ulcers_on_tongue,,,
Ear canal stenosis,,,,
Fistula repair,,,,
Diffuse alopecia,,,,
Intestinal angioma,,,,
Arrhythmia neonatal,,,,
Arteriovenous graft site infection,,,,
Non-Hodgkin's lymphoma unspecified histology aggressive stage IV,,,,
Poor quality product administered,,,,
Generalised tonic-clonic seizure,,,,
Vascular graft infection,,,,
Oral mucosal eruption,,,,
Abdominal injury,,,,
Drug monitoring procedure incorrectly performed,,,,
Nail operation,,,,
Penile plaque,,,,
Pseudogynaecomastia,,,,
Mass,,,,
Hangnail,,,,
Hypervitaminosis D,,,,
Application site perspiration,,,,
Blood pressure diastolic abnormal,,,,
Renal malposition,,,,
Leukoplakia,,,,
Eczema asteatotic,,,,
Factor VIII inhibition,,,,
Orchidectomy,,,,
Acute oesophageal mucosal lesion,,,,
Victim of sexual abuse,,,,
Vacuum extractor delivery,,,,
Drug level,,,,
Impulsive behaviour,,,,
Kidney small,,,,
Gingival bleeding,,,,
Carbuncle,,,,
Retinoschisis,,,,
Tendon sheath incision,,,,
Periorbital irritation,,,,
Milk allergy,,,,
Suture insertion,,,,
Cystitis bacterial,,,,
Fungal tracheitis,,,,
Neuroectodermal neoplasm,,,,
Proteus test positive,,,,
Muscle swelling,,,,
Phonophobia,,,,
Azotaemia,,,,
Bladder pain,bladder_discomfort,,,
Testicular mass,,,,
Paracoccidioides infection,,,,
Developmental regression,,,,
Febrile convulsion,,,,
Lymphocyte percentage increased,,,,
Adenoma benign,,,,
Wound infection fungal,,,,
Transient aphasia,,,,
Corneal opacity,,,,
Obsessive-compulsive disorder,,,,
EGFR gene mutation,,,,
Tongue haemorrhage,,,,
Skin tightness,,,,
Epstein-Barr virus infection reactivation,,,,
Scleritis,,,,
Porphyria acute,,,,
Blood beta-D-glucan positive,,,,
Bone cancer metastatic,,,,
Colitis microscopic,,,,
Elephantiasis,,,,
Philadelphia chromosome positive,,,,
Sinusitis fungal,sinus_pressure,,,
Splenic injury,,,,
Foetal heart rate deceleration abnormality,,,,
Spinal nerve stimulator removal,,,,
Oxygen saturation decreased,,,,
Contrast media deposition,,,,
Polycythaemia,,,,
Medical device site inflammation,,,,
Abdominal fat apron,,,,
Drug detoxification,,,,
Pancreatitis relapsing,,,,
Premature delivery,,,,
Nephropathy toxic,,,,
Exposure to allergen,,,,
Ulcerative keratitis,,,,
Shrinking lung syndrome,,,,
Transposition of the great vessels,,,,
Product container seal issue,,,,
Klebsiella bacteraemia,,,,
Paranasal sinus haemorrhage,,,,
Premature rupture of membranes,,,,
Allergy to vaccine,,,,
Pleurodesis,,,,
Peripheral artery angioplasty,,,,
Imaging procedure,,,,
Thoracic outlet syndrome,,,,
Persistent depressive disorder,,,,
